domain,fb_score,mturk_score,allsides_score,allsides_score_community,mbfc_score,media_score,buntain_share_ideology_score
baldwintimes.com,,,,,0.33,,
balkaninsight.com,,,,,-0.33,,
ballotpedia.org,,0.0,0.0,0.0,0.0,,
baltimorecitywire.com,,,,,0.33,,
baltimoresun.com,-0.1321,,,,-0.33,,-0.5687445390008546
bangkokpost.com,,,,,0.33,,
bangordailynews.com,-0.1732,,,,-0.33,,-0.1808820340966739
banned.video,,,,,0.66,,
baptistnews.com,,,,,-0.33,,
barackobama.com,-0.8077,,,,,,
barenakedislam.com,0.8589,,,,1.0,,
barrietoday.com,,,,,-0.33,,
barrons.com,,,,,0.33,,
barstoolsports.com,,,,,,,0.3786935170901826
bartleby.com,,0.0,,,,,
baseball-reference.com,,0.0,,,,,
basnews.com,,,,,-0.66,,
bathandbodyworks.com,,,,,,,0.2250506609449599
batimes.com.ar,,,,,0.33,,
batonrougereporter.com,,,,,0.33,,
battlecreekenquirer.com,,,,,-0.33,,
battlecreektimes.com,,,,,0.33,,
battleforthenet.com,-0.5612,,,,,,-1.147781336131978
baxterbulletin.com,,,,,-0.33,,
baynature.org,,,,,-0.33,,
baynews9.com,0.0586,,,,,,0.2490197303998166
baystatenews.com,,,,,0.33,,
bb4sp.com,,,,,1.0,,1.5485164201158568
bbarta24.net,,,,,-0.33,,
bbb.org,,0.0,,,,,
bbc.co.uk,-0.3313,-0.333333333333,,,,,-0.8921718404745246
bbc.com,-0.2609,-0.5,0.0,-0.5,-0.33,,-0.7006717570601916
bdnews24.com,,,,,-0.33,,
beachbroadcastnews.com,,,,,1.0,,
beaconjournal.com,,,,,-0.33,,
beantowntimes.com,,,,,0.33,,
bearingarms.com,0.77,,,,0.66,,1.4893684398214264
beatricedailysun.com,,,,,0.0,,
beavercreeknewscurrent.com,,,,,0.33,,
becauseofthemwecan.com,,,,,,,-0.9071616237119144
beckernews.com,,,,,1.0,,
becomingminimalist.com,,,,,,,-0.0680107254671584
beforeitsnews.com,0.5876,,,,1.0,,
behance.net,,0.0,,,,,
behindthetyranny.com,,,,,,,1.498386193479927
beholdisrael.org,,,,,0.66,,
beingliberal.org,,,,,-0.66,,
beinglibertarian.com,,,,,0.33,,
belfercenter.org,,,,,-0.33,,
beliefnet.com,,,,,0.66,,0.8370741326967488
bellingcat.com,,,,,-0.33,,
bellinghamherald.com,,,,,-0.33,,
bemidjipioneer.com,,,,,0.33,,
benjerry.com,,,,,,,-1.0483171330727454
benswann.com,0.4846,,,,,,
bentontimes.com,,,,,0.33,,
benzinga.com,,,,,0.0,,
berkeleyside.com,,,,,-0.33,,
berkshireeagle.com,,,,,-0.33,,
berliner-zeitung.de,,,,,-0.33,,
berlingske.dk,,,,,0.33,,
bertfulks.com,,,,,,,-0.0025136485639337
bestfolkmedicine.com,,,,,,,0.1111751743072865
besthealthyguide.com,,,,,,,0.2634001045355265
bestlifeonline.com,,,,,0.0,,
bestnewshere.com,,,,,0.66,,
bestproducts.com,,,,,,,0.0847238487843725
bestrecipesww.com,,,,,,,0.493664109605812
bet.com,,0.0,,,,,-0.676730259834103
bettergov.org,,,,,0.0,,
betterme.guru,,,,,,,0.1441112834914823
betterme.tips,,,,,,,0.1603789339170905
bettycrocker.com,,,,,,,0.4022897947241433
beyondblindfold.com,,,,,,,0.0241196946382419
bgdailynews.com,,,-0.5,0.0,,,
bgr.com,,0.0,,,-0.33,,-0.2344008245561606
bhg.com,,,,,,,0.1232862664448475
bible.com,,,,,,,0.4527484834618289
biblegateway.com,,,,,,,0.3891717547306671
bigcountry995.com,,,,,0.0,,
bigcountryhomepage.com,,,,,0.0,,0.7597723172827514
biggeekdad.com,,,,,,,0.8977789569436022
biggovernment.news,,,,,0.66,,
bigislandtimes.com,,,,,0.33,,
bigleaguepolitics.com,,,,,1.0,,1.4265163828591394
bignewsnetwork.com,,,,,0.0,,
bigperspectives.com,,,,,,,-0.0503783133737535
bigstory.ap.org,-0.2022,,,,,,
bigthink.com,,,,,0.0,,-0.8912568543261699
bild.de,,,,,0.33,,
billboard.com,,0.0,,,,,-0.4503251401427368
billingsgazette.com,,,,,0.33,,-0.1282480027603047
billionbibles.org,,,,,0.66,,
billmoyers.com,-0.8390000000000001,,,,-0.66,,-1.4780880131037997
billoreilly.com,,,,,,,1.4938572082173904
billygraham.org,,,,,,,1.2691218446360315
bing.com,,,,,-0.33,,0.0101511480935327
biodefense.com,,,,,0.66,,
biography.com,,0.0,,,0.0,,
biotechexpressmag.com,,,,,0.66,,
bipartisanpolicy.org,,,,,0.33,,
bipartisanreport.com,,,,,-1.0,-1.5411610306240686,-1.3677142032715028
birminghammail.co.uk,,,,,0.33,,
bismarcktribune.com,,,,,0.0,,
bit.ly,,0.0,,,,,
bitchmedia.org,,,,,-0.66,,
bitchute.com,,,,,1.0,,
bitecharge.com,,,,,,,0.4186571201677712
bizjournals.com,,,,,,,-0.0588913216954316
bizpacreview.com,0.9142,,,,0.66,1.327607097040829,1.5239889612544149
bjreview.com,,,,,-0.33,,
blabber.buzz,,,,,0.66,,
blabbermouth.net,,,,,,,0.1509227827851262
blackagendareport.com,,,,,-0.66,,
blackamericaweb.com,-0.7772,,,,-0.66,-1.4011069781305951,-0.741499271960661
blackbusiness.org,,,,,,,-0.8120899010499641
blackdoctor.org,,,,,,,-0.7507789615090397
blackenterprise.com,,,,,-0.33,,-0.88371312277159
blackgenocide.org,,,,,1.0,,
blacklivesmatter.com,,,,,-0.66,,
blackmainstreet.net,,,,,-0.66,,-0.800349174758139
blacknews.com,,,,,-0.66,,-0.7678446135525694
blackpigeonspeaks.com,,,,,1.0,,
blackpressusa.com,,,,,-0.33,,-0.593296853625171
blacksportsonline.com,,,,,,,-0.8427310206971224
blackthen.com,,,,,,,-1.0051408004987767
blastingnews.com,,,,,0.0,,-1.033578400222305
blavity.com,,,,,,-1.8056265544616448,-1.0599329441889611
blckbx.tv,,,,,0.66,,
bleachernation.com,,,,,,,0.0861455608987879
bleacherreport.com,,0.0,,,-0.33,,-0.2711981357226468
bleepingcomputer.com,,,,,0.0,,
bles.com,,,,,,,-0.3439652317321275
blobla.com,,,,,,,0.3680273542025363
blockclubchicago.org,,,,,,,-0.8990654447886557
blogs.spectator.co.uk,,0.0,,,,,
blogs.wsj.com,-0.0746,,,,,,
blogspot.com,,,,,0.66,,
blogtrendbuzz.info,,,,,,,-0.3592665518090081
bloody-disgusting.com,,,,,,,-0.4715557595895117
bloomberg.com,-0.1565,-0.0833333333333,0.0,0.0,-0.33,0.080237870146094,-0.8834344824291306
bloomingtonleader.com,,,,,0.33,,
bluedotdaily.com,,,,,,,-1.3431789506791971
bluegrasstimes.com,,,,,0.33,,
bluelivesmatter.blue,,,,,,,1.0978604776139456
bluenationreview.com,-0.8883,,,,,,
bluesidenation.com,,,,,,,-1.442533695497476
bluestatebluesnews.com,,,,,1.0,,
bluestatedaily.com,,,,,,,-1.4220391149019025
bluestemprairie.com,,,,,-0.33,,
bluevirginia.us,,,-1.0,0.5,,,
bluntforcetruth.com,,,,,1.0,,
bnc.tv,,,,,-0.66,,
bnd.com,,,,,0.33,,0.041070811860207
bnonews.com,,,,,0.0,,
bnr.nl,,,,,0.33,,
boingboing.net,-0.7779,,-1.0,0.0,-0.66,,-1.233597135625656
boisecitywire.com,,,,,0.33,,
bolde.com,,,,,,,-0.0193593476188746
boldprogressives.org,,,,,-0.66,,
bonappetit.com,,,,,,,-0.5653955295689533
bongino.com,,,,,1.0,,1.5481414833496894
bonsens.info,,,,,0.66,,
bookbub.com,,,,,,,-0.3566306716016978
books.google.com,,0.0,,,,,
boomlive.in,,,,,0.33,,
borderreport.com,,,,,0.0,,
boreddaddy.com,,,,,,,0.505865433324702
boredomtherapy.com,,,,,,,0.3545128899002202
boredpanda.com,,,,,,,-0.3780638182814239
boredteachers.com,,,,,,,-0.2833354899895661
borntoberight.com,,,,,,,1.4370428997562132
bossip.com,,,,,-1.0,,
boston.com,,,,,-0.33,,-0.5314259217289141
boston25news.com,,,,,0.0,,0.0227929766538664
bostonglobe.com,-0.4446,-0.25,-0.5,-0.5,-0.33,,-1.022937721931522
bostonherald.com,,,,,0.33,,0.6266518653235235
bostonreview.net,,,,,-0.66,,
boundingintocomics.com,,,,,0.66,,
bowlinggreentoday.com,,,,,0.33,,
bozemandailychronicle.com,,0.0,,,0.0,,
bp.blogspot.com,,,,,,,0.5631131748698611
bradenton.com,,,,,,,0.4455360231655285
bradford-delong.com,,,,,-0.66,,
braincandy.net,,,,,,,0.29789729206646
brainerddispatch.com,,,,,0.33,,
